question,answer,CAP_TOTALE
WHEN IS GRASSE TUBEROSE HARVESTED?,"AT TWILIGHT",10
WHEN IS GRASSE TUBEROSE HARVESTED?,"IN THE MIDDLE OF THE DAY WHEN THE SUN IS AT ITS HIGHEST POINT",10
WHEN IS GRASSE TUBEROSE HARVESTED?,"ONCE THE SUN SETS",10
